session_id;lon;lat
972387;20.408246;52.09438
384994;20.408145;52.018082
173981;20.43225;52.038129
144649;20.422656;52.076472
475443;20.363652;52.118518
309859;20.433421;52.075897
441499;20.433341;52.109335
815406;20.42625;52.070475
957153;20.449729;52.143308
215560;20.404503;52.167776
50839;20.407611;52.113442
263358;20.465546;52.111498
341249;20.400527;52.130887
591151;20.404148;52.063134
573873;20.446543;52.072983
202761;20.477809;52.073066
389620;20.381831;52.056479
336305;20.395857;52.138687
287894;20.419653;52.05167
550008;20.429864;52.030993
114213;20.453462;52.043936
498342;20.467649;52.057748
256782;20.935721;52.284384
837482;20.867332;52.248849
246750;20.891893;52.276179
925467;20.865978;52.285053
238867;20.965137;52.221405
989977;20.883181;52.227955
316736;20.946765;52.231226
512874;20.885276;52.305869
174927;20.941254;52.24126
315618;20.874126;52.292869
481047;20.918365;52.270552
103100;20.878863;52.194611
862353;20.884697;52.217583
303379;20.930902;52.259724
202838;20.867372;52.239237
917749;18.507505;54.295438
465090;18.59538;54.282997
20599;18.576591;54.202506
415542;18.582336;54.283035
114230;18.599567;54.287938
218562;18.581727;54.297077
660536;18.629061;54.294669
548464;18.622197;54.222867
564714;18.576501;54.185249
54519;18.540337;54.288541
959138;18.589997;54.276931
726665;18.562583;54.242537
477823;18.595888;54.29592
478816;18.595974;54.248043
323565;18.555729;54.271273
605284;18.62784;54.29409
752950;18.608484;54.251112
24998;18.638004;54.322133
866458;18.599451;54.305038
247251;18.644004;54.277261
841574;18.591367;54.294527
678312;18.601042;54.251931
234443;18.597307;54.368687
724639;18.598612;54.28342
902289;17.076361;51.070748
166516;17.077271;51.044383
367732;17.064375;51.04145
131127;17.064259;51.070473
712819;17.058318;51.119373
666416;17.065609;51.050916
593545;17.067819;51.161884
427520;17.132112;51.137201
336502;17.096334;51.086945
923972;17.074323;51.062558
309436;17.144776;51.037769
92427;17.073665;51.02412
859842;17.062807;51.141002
440878;17.035137;51.068118
708321;17.127687;51.05325
196690;17.082841;51.098827
227087;17.157237;51.061254
3364;17.047865;51.063274
842224;15.167983;52.698882
826260;15.149218;52.635851
591783;15.169315;52.682808
844769;15.205311;52.775094
700316;15.174534;52.711672
62654;15.148942;52.712986
661774;15.16646;52.833147
955855;15.214428;52.733957
409183;15.181832;52.725625
924723;15.202453;52.697289
475150;15.185433;52.711284
430852;16.113132;54.187046
141779;16.106255;54.197178
178701;16.090496;54.133142
283692;16.111504;54.223285
987360;16.177628;54.1655
902435;16.164283;54.152414
971032;16.131357;54.180606
520994;16.107396;54.248902
487209;16.104857;54.194744
578145;16.111796;54.213833
922335;16.150346;54.149232
416763;16.099119;54.147693
933613;16.129391;54.202541
218028;16.117779;54.186436
867776;16.142075;54.125556
746982;16.147598;54.183048
50168;16.132261;54.23783
661653;16.085145;54.227945
769960;16.115066;54.147456
843536;16.093273;54.215572
56854;16.128351;54.208495
889972;16.176261;54.222848
22092;16.112696;54.190624
882033;16.145007;54.146672
16188;16.143955;54.206441
246147;16.107353;54.174079
629417;16.151343;54.207278
173564;16.155741;54.244424
619357;16.118288;54.156015
296946;16.101617;54.127675
974272;16.100673;54.151232
29225;16.143493;54.16213
56838;20.363876;51.533448
739426;20.32039;51.484717
912253;20.299762;51.468818
461108;20.313423;51.547036
527641;20.320876;51.478444
327466;20.312867;51.519989
298990;20.34702;51.469774
15374;20.308884;51.517919
728997;20.331001;51.524129
761505;20.318178;51.5107
768831;20.313924;51.500615
468168;20.33298;51.499847
1063;20.383839;51.50708
810575;20.30893;51.45847
13122;20.368189;51.517827
370110;19.047887;49.675244
815821;19.079808;49.722277
223200;19.059925;49.814004
105858;19.038425;49.806919
438508;19.037296;49.785769
298433;18.520641;53.00191
156699;18.598231;52.97488
170681;18.536182;52.976642
9143;18.588452;53.02769
626129;18.568491;52.982642
67523;18.631473;53.027884
686790;18.55595;53.037995
679220;18.622645;53.050355
2781;18.55679;52.99255
802949;18.51103;53.036078
737651;18.583836;52.993738
390454;18.552933;53.018663
983728;18.576456;52.981564
462862;18.524203;53.035327
687747;18.565171;53.0091
938946;18.603491;53.067773
3212;18.585088;52.99497
9892;18.510791;53.050458
50516;18.559608;53.01873
66049;18.570013;53.073411
997588;18.577759;53.054664
962730;19.157212;50.222467
916907;19.118396;50.14988
669970;19.064102;50.116792
131936;19.081646;50.198999
825885;19.048078;50.198597
240441;19.092874;50.157789
179158;19.023952;50.164811
82294;19.103547;50.159659
228918;19.061163;50.160696
107624;19.059993;50.132073
304221;19.099549;50.173097
378617;19.112588;50.152702
385744;19.099293;50.220464
955623;19.100838;50.097844
795490;19.120311;50.227074
386906;19.078686;50.160034
138995;19.12754;50.218587
586977;19.122481;50.215901
601161;19.131129;50.182649
261644;19.087001;50.085801
924924;19.079065;50.205963
173566;19.151946;50.15513
342817;19.111074;50.187434
799918;19.097708;50.248992
495414;19.1405;50.176544
236137;19.161871;50.151609
700944;19.673661;52.599171
751916;19.675266;52.617938
154603;19.62387;52.545714
756759;19.613196;52.620299
797234;19.60573;52.590988
535212;19.592215;52.608323
768753;19.62255;52.581283
83771;19.576868;52.576229
428687;19.608471;52.583428
37880;19.637956;52.56861
363425;19.588046;52.60643
622079;19.608749;52.513528
3015;19.622643;52.519012
832170;19.660002;52.539781
459307;19.643976;52.533001
194241;19.657308;52.538118
503266;19.664742;52.567683
709599;19.714879;52.612281
365407;19.627554;52.670197
631335;19.649629;52.514137
25812;19.646227;52.556937
152936;19.580652;52.543164
999946;19.606882;52.626837
692803;19.624923;52.499372
908823;19.559167;52.538565
788847;15.736478;51.743544
321439;15.690227;51.805013
40121;15.66129;51.835775
56591;15.710064;51.736173
335875;15.72093;51.839503
357677;15.751757;51.795162
634900;15.780943;51.822072
345421;15.752791;51.764902
990195;15.702974;51.780884
3217;15.776981;51.857117
7808;15.712053;51.762357
7773;15.736713;51.794905
332830;15.709466;51.809175
404863;15.717814;51.811451
55315;15.724705;51.834925
230425;15.801306;51.79624
956867;15.718229;51.814685
326973;15.789794;51.763116
673201;15.759332;51.71887
205161;15.762496;51.751853
708415;15.761406;51.808015
256499;15.75433;51.793551
304891;15.71203;51.736989
71670;15.731741;51.732187
364392;15.684133;51.726555
293390;17.872248;50.976478
857481;17.853767;51.079808
772115;17.809911;51.034939
786921;17.85098;51.09344
867904;17.85958;51.040173
517181;17.828025;51.146468
366708;17.82153;51.017557
823379;17.790082;50.979788
59579;17.909983;51.017661
47033;17.868611;51.078189
694553;17.8708;51.07308
333452;17.847382;50.992772
430158;17.860892;51.073905
699629;17.851172;51.130508
682322;17.891893;51.043849
775602;17.865477;51.042056
162138;17.875287;50.962823
772597;21.091116;52.325187
920583;21.105475;52.264572
132581;21.128798;52.284516
306079;21.070034;52.263748
637796;21.139669;52.335619
517304;21.085895;52.32509
461064;21.081183;52.233964
743490;21.075984;52.313546
802993;21.0639;52.326287
886421;21.11353;52.379346
596646;21.06813;52.279172
57228;21.053975;52.31675
339950;21.080981;52.255576
527116;21.079353;52.323825
78315;21.116115;52.357788
261308;21.073779;52.327372
183444;21.114171;52.32117
853180;21.081838;52.374805
246068;21.066375;52.393604
716284;21.090538;52.347182
569815;21.116906;52.375319
642812;21.138891;52.264694
852957;21.132882;52.123932
130010;21.125216;52.262933
787454;21.15802;52.245081
895716;21.174204;52.204018
408485;21.089982;52.285117
545280;21.145061;52.22432
830029;21.163879;52.263821
789401;21.170367;52.212763
776997;21.12959;52.176538
127190;21.160058;52.286479
873325;21.142419;52.242328
686294;21.12506;52.255938
543723;21.104474;52.136811
96003;21.097439;52.211637
438180;21.175838;52.252386
604442;21.160585;52.194678
247513;21.128386;52.228196
193815;21.141251;52.180926
699626;21.149998;52.169041
227714;20.862904;52.418931
532657;20.878106;52.395427
924273;20.87372;52.358764
491498;20.913266;52.284194
498912;20.846242;52.39531
946706;20.912794;52.325641
493727;20.859115;52.414559
215018;20.864503;52.365122
626896;20.920589;52.337016
740147;20.885382;52.336567
570095;20.85591;52.355298
364460;20.879781;52.40194
844925;20.886094;52.344254
835790;20.921928;52.370779
254967;20.960651;52.354469
353147;20.858435;52.374044
594810;20.881573;52.321215
634606;20.870048;52.318521
886956;18.65017;50.228924
702977;18.601464;50.238178
479093;18.67297;50.284808
418092;18.686228;50.225528
163807;18.676691;50.277431
554423;18.633034;50.238152
165181;18.685913;50.302204
817160;18.635492;50.305569
707762;18.678386;50.266187
485519;18.640925;50.243742
947172;18.63131;50.235346
357975;18.676326;50.318891
640557;18.670489;50.246877
794065;18.627373;50.302774
993939;18.611042;50.268485
453215;18.621396;50.265934
285706;17.943231;53.087518
738450;17.939455;53.146863
807644;17.897246;53.148496
27345;17.954873;53.134034
338793;17.857334;53.079384
839277;17.955417;53.150481
40217;17.922569;53.160633
162157;17.965959;53.141155
233704;17.96916;53.072408
208873;17.924425;53.154888
943066;17.937331;53.171374
50469;17.972171;53.177923
635674;17.923799;53.144956
802595;17.961204;53.075909
74370;17.961002;53.1354
627087;17.962738;53.07207
775830;17.972139;53.150117
35310;17.977128;53.161836
986529;17.917462;53.087693
238654;17.95701;53.19177
703672;17.915766;53.190973
149162;17.967879;53.13131
535925;17.923835;53.188479
392005;17.953273;53.082252
553027;17.952961;53.167602
353974;17.922582;53.265988
912999;17.919674;53.202019
180311;17.98959;53.152338
633359;17.947537;53.070029
408318;17.929831;53.146589
202293;17.933405;53.119781
118261;16.314657;53.001856
271533;16.307183;52.935235
